   Compiling vc-x1 v0.78.5 (/home/wink/data/prgs/rust/vc-x1)
    Finished `test` profile [unoptimized + debuginfo] target(s) in 4.89s
     Running unittests src/main.rs (target/debug/deps/vc_x1-c575ca4975c9c0c2)

running 481 tests
test bot_session::tests::line_bounds_cases ... ok
test bot_session::tests::gists ... ok
test bot_session::tests::resolve_items_cases ... ok
test bot_session::tests::default_view ... ok
test bot_session::tests::meta_and_sidechain_hidden ... ok
test bot_session::tests::lines_spec_parsing ... ok
test bot_session::tests::result_cap ... ok
test bot_session::tests::short_time_cases ... ok
test bot_session::tests::summary_lines ... ok
test bot_session::tests::render_source_slice ... ok
test bot_session::tests::reveal_flags ... ok
test bot_session::tests::item_gating ... ok
test common::tests::bot_repo_path_dual ... ok
test chid::tests::no_label ... ok
test chid::tests::label_default ... ok
test chid::tests::with_limit ... ok
test chid::tests::params_from_args_defaults ... ok
test chid::tests::defaults ... ok
test chid::tests::positional_rev_and_count ... ok
test chid::tests::label_custom ... ok
test chid::tests::positional_both_dots ... ok
test common::tests::bot_repo_path_no_config ... ok
test common::tests::bot_repo_path_missing_dir_errors ... ok
test common::tests::bot_repo_path_single_repo_workspace ... ok
test clone::tests::por_flag ... ok
test common::tests::bot_repo_path_mismatched_blocks_error ... ok
test chid::tests::scope_path_rejected_with_hint ... ok
test chid::tests::positional_rev ... ok
test common::tests::coherence_missing_bot_key_errors ... ok
test common::tests::configured_bot_dir_no_existence_check ... ok
test common::tests::default_scope_por_returns_work ... ok
test common::tests::default_scope_dual_workspace ... ok
test common::tests::coherence_self_identification_errors ... ok
test common::tests::default_scope_empty_other_repo ... ok
test common::tests::coherence_unresolvable_dir_errors ... ok
test common::tests::default_scope_single_repo_workspace ... ok
test clone::tests::missing_target ... ok
test common::tests::coherence_absolute_values_agree ... ok
test clone::tests::target_path_form_accepted ... ok
test chid::tests::with_repo ... ok
test common::tests::find_non_tracking_remote_no_remote ... ok
test common::tests::find_non_tracking_remote_other_bookmark ... ok
test chid::tests::with_repo_and_scope_compose ... ok
test clone::tests::target_relative_path_form_accepted ... ok
test common::tests::find_tracked_remote_divergent ... ok
test common::tests::empty_repos_work_rejected ... ok
test chid::tests::with_scope_work_bot ... ok
test common::tests::find_tracked_remote_non_tracking_is_not_tracked ... ok
test common::tests::find_tracked_remote_other_remote_only ... ok
test chid::tests::with_scope_work ... ok
test common::tests::find_tracked_remote_synced ... ok
test common::tests::find_non_tracking_remote_untracked ... ok
test common::tests::indent_body_empty_lines_preserved ... ok
test common::tests::find_non_tracking_remote_tracked ... ok
test common::tests::find_workspace_root_none_outside ... ok
test common::tests::indent_body_empty_string ... ok
test common::tests::find_workspace_root_from_bot_dir ... ok
test common::tests::find_tracked_remote_absent ... ok
test common::tests::find_workspace_root_walks_up ... ok
test common::tests::indent_body_zero ... ok
test common::tests::indent_body_single_line ... ok
test chid::tests::all_opts ... ok
test chid::tests::with_revision ... ok
test common::tests::indent_body_multi_line ... ok
test clone::tests::defaults ... ok
test common::tests::parse_dot_rev_ancestors ... ok
test common::tests::is_bot_dir_by_self_resolution ... ok
test common::tests::parse_dot_rev_bare ... ok
test common::tests::parse_dot_rev_both ... ok
test common::tests::parse_dot_rev_both_changeid ... ok
test clone::tests::with_name ... ok
test common::tests::resolve_repos_repo_only_returns_path ... ok
test common::tests::legacy_workspace_work_bot_rejected ... ok
test common::tests::parse_dot_rev_changeid ... ok
test common::tests::resolve_spec_ancestors ... ok
test common::tests::resolve_spec_ancestors_no_count ... ok
test common::tests::resolve_spec_bare_with_count ... ok
test common::tests::legacy_config_found_and_rejected ... ok
test common::tests::resolve_repos_no_flags_defaults_to_dot ... ok
test common::tests::resolve_spec_both ... ok
test common::tests::is_bot_dir_legacy_fallback ... ok
test common::tests::legacy_guard_accepts_mixed_keys ... ok
test common::tests::resolve_spec_both_odd ... ok
test common::tests::resolve_spec_flag_limit_overrides_pos_count ... ok
test common::tests::resolve_repos_repo_plus_scope_bot_only ... ok
test common::tests::resolve_repos_repo_plus_scope_uses_path_as_workspace_root ... ok
test common::tests::resolve_spec_flag_overrides_positional ... ok
test common::tests::scope_to_repos_bot_por_errors ... ok
test common::tests::parse_dot_rev_descendants ... ok
test common::tests::scope_to_repos_bot_single_repo_errors ... ok
test common::tests::scope_to_repos_dual ... ok
test common::tests::resolve_spec_descendants ... ok
test config::tests::account_only_no_default_section ... ok
test config::tests::bot_session_items_parses ... ok
test config::tests::bot_session_scalar_bad_value_errors ... ok
test config::tests::cfg_tempdir_drop_cleans_up ... ok
test config::tests::bot_session_scalars_parse ... ok
test clone::tests::all_opts ... ok
test config::tests::empty_file_returns_default ... ok
test common::tests::scope_to_repos_work_only ... ok
test config::tests::resolve_account_combined_with_repo_cat ... ok
test config::tests::full_schema_parses ... ok
test config::tests::resolve_account_not_in_config ... ok
test common::tests::resolve_spec_defaults ... ok
test config::tests::missing_file_returns_default ... ok
test common::tests::scope_to_repos_work_por ... ok
test config::tests::resolve_step2_no_default_category ... ok
test config::tests::resolve_step3_no_value_for_category ... ok
test config::tests::resolve_top_level_account_override_skips_top_level ... ok
test config::tests::resolve_explicit_value_ignores_missing_account ... ok
test config::tests::mixing_top_level_and_accounts_errors ... ok
test config::tests::resolve_account_override ... ok
test config::tests::resolve_explicit_value_short_circuits_empty_config ... ok
test config_cmd::tests::parse_target_empty_errors ... ok
test config::tests::resolve_no_flags_uses_all_defaults ... ok
test config::tests::top_level_repo_shorthand ... ok
test config_cmd::tests::parse_target_keywords ... ok
test config::tests::unknown_keys_ignored ... ok
test config_cmd::tests::parse_target_path_fallback ... ok
test config::tests::resolve_repo_cat_and_value ... ok
test config::tests::resolve_repo_cat_only ... ok
test config::tests::resolve_step1_no_account ... ok
